product_name,product_price,product_url,product_size,product_id,category,page_number
Asia Specialities Medium Egg Noodles 250g,0.95,https://groceries.aldi.co.uk/en-GB/p-asia-specialities-medium-egg-noodles-250g/4088600401096,250g,4088600401096,food-cupboard,13
The Deli Cider Vinegar 500ml,1.45,https://groceries.aldi.co.uk/en-GB/p-the-deli-cider-vinegar-500ml/4088600401706,500ml,4088600401706,food-cupboard,13
The Deli Red Wine Vinegar 500ml,1.45,https://groceries.aldi.co.uk/en-GB/p-the-deli-red-wine-vinegar-500ml/4088600401713,500ml,4088600401713,food-cupboard,13
The Deli White Wine Vinegar 500ml,1.45,https://groceries.aldi.co.uk/en-GB/p-the-deli-white-wine-vinegar-500ml/4088600401720,500ml,4088600401720,food-cupboard,13
Belmont Jammy Wheels Minis 6x20g,0.99,https://groceries.aldi.co.uk/en-GB/p-belmont-jammy-wheels-minis-6x20g/4088600346939,6x20g,4088600346939,food-cupboard,13
Specially Selected Multifloral Manuka Honey Mgo 100+ 225g,4.49,https://groceries.aldi.co.uk/en-GB/p-specially-selected-multifloral-manuka-honey-mgo-100-225g/4088600346854,225g,4088600346854,food-cupboard,13
Worldwide Foods Pesto Infused Grains 250g,0.99,https://groceries.aldi.co.uk/en-GB/p-worldwide-foods-pesto-infused-grains-250g/4088600404080,250g,4088600404080,food-cupboard,13
Harvest Morn Fibre Now Peanut Butter Popcorn Bars 84g/4 Pack,0.99,https://groceries.aldi.co.uk/en-GB/p-harvest-morn-fibre-now-peanut-butter-popcorn-bars-84g4-pack/4088600343884,84g,4088600343884,food-cupboard,13
Harvest Morn Fibre Now Milk Chocolate Popcorn Bars 4x21g,0.99,https://groceries.aldi.co.uk/en-GB/p-harvest-morn-fibre-now-milk-chocolate-popcorn-bars-4x21g/4088600343877,4x21g,4088600343877,food-cupboard,13
Specially Selected Sea Salt & Chardonnay Vinegar Hand Cooked Crisps 6x25g,1.49,https://groceries.aldi.co.uk/en-GB/p-specially-selected-sea-salt-chardonnay-vinegar-hand-cooked-crisps-6x25g/4088600374352,6x25g,4088600374352,food-cupboard,13
Just Good Sauce Co. Roasted Garlic Mayonnaise 250ml,0.89,https://groceries.aldi.co.uk/en-GB/p-just-good-sauce-co-roasted-garlic-mayonnaise-250ml/4088600407609,250ml,4088600407609,food-cupboard,13
The Fishmonger Tuna Chunks In Spring Water 145g (102g Drained),0.65,https://groceries.aldi.co.uk/en-GB/p-the-fishmonger-tuna-chunks-in-spring-water-145g-102g-drained/4088600407401,145g ,4088600407401,food-cupboard,13
Oakhurst Cook From Frozen Beef Burgers 342g/6 Pack,1.99,https://groceries.aldi.co.uk/en-GB/p-oakhurst-cook-from-frozen-beef-burgers-342g6-pack/4088600255743,342g,4088600255743,frozen,13
Oakhurst Cooked Diced Chicken 340g,2.15,https://groceries.aldi.co.uk/en-GB/p-oakhurst-cooked-diced-chicken-340g/4088600255804,340g,4088600255804,frozen,13
The Juice Company Strawberry & Banana Smoothie Mix 500g,1.75,https://groceries.aldi.co.uk/en-GB/p-the-juice-company-strawberry-banana-smoothie-mix-500g/4088600255842,500g,4088600255842,frozen,13
The Juice Company Exotic Smoothie Mix 500g,1.75,https://groceries.aldi.co.uk/en-GB/p-the-juice-company-exotic-smoothie-mix-500g/4088600255859,500g,4088600255859,frozen,13
The Juice Company Green Smoothie Mix 500g,1.75,https://groceries.aldi.co.uk/en-GB/p-the-juice-company-green-smoothie-mix-500g/4088600255866,500g,4088600255866,frozen,13
The Fishmonger Breaded Cod Fish Fingers 300g/10 Pack,1.65,https://groceries.aldi.co.uk/en-GB/p-the-fishmonger-breaded-cod-fish-fingers-300g10-pack/4088600257266,300g,4088600257266,frozen,13
Everyday Essentials Thin & Crispy Pepperoni Pizza 314g,0.97,https://groceries.aldi.co.uk/en-GB/p-everyday-essentials-thin-crispy-pepperoni-pizza-314g/4088600262444,314g,4088600262444,frozen,13
Everyday Essentials Cheese & Tomato Pizza 314g,0.97,https://groceries.aldi.co.uk/en-GB/p-everyday-essentials-cheese-tomato-pizza-314g/4088600264479,314g,4088600264479,frozen,13
Roosters Gastro Sticky Teriyaki Chicken Thigh Bites 300g,2.19,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-sticky-teriyaki-chicken-thigh-bites-300g/4088600268187,300g,4088600268187,frozen,13
Roosters Gastro Sticky BBQ Chicken Thigh Bites 300g,2.19,https://groceries.aldi.co.uk/en-GB/p-roosters-gastro-sticky-bbq-chicken-thigh-bites-300g/4088600268200,300g,4088600268200,frozen,13
Gianni's Cookie Dough Ice Cream 500ml,1.99,https://groceries.aldi.co.uk/en-GB/p-giannis-cookie-dough-ice-cream-500ml/4088600275840,500ml,4088600275840,frozen,13
Gianni's Chocolate Brownie Ice Cream 500ml,1.99,https://groceries.aldi.co.uk/en-GB/p-giannis-chocolate-brownie-ice-cream-500ml/4088600275864,500ml,4088600275864,frozen,13
Gianni's Cheeky Monkey Ice Cream 500ml,1.99,https://groceries.aldi.co.uk/en-GB/p-giannis-cheeky-monkey-ice-cream-500ml/4088600275871,500ml,4088600275871,frozen,13
Specially Selected Raw Peeled Argentinian Prawns 250g,3.99,https://groceries.aldi.co.uk/en-GB/p-specially-selected-raw-peeled-argentinian-prawns-250g/4088600277233,250g,4088600277233,frozen,13
Specially Selected Emmental & Asparagus Parcels 400g/2 Pack,1.99,https://groceries.aldi.co.uk/en-GB/p-specially-selected-emmental-asparagus-parcels-400g2-pack/4088600284859,400g,4088600284859,frozen,13
Specially Selected Hand Finished Red Pepper & Mozzarella Parcels 2x200g,1.99,https://groceries.aldi.co.uk/en-GB/p-specially-selected-hand-finished-red-pepper-mozzarella-parcels-2x200g/4088600284866,2x200g,4088600284866,frozen,13
Specially Selected Chip Shop Style Extra Large Beer Battered Haddock Fillets 460g/2 Pack,4.29,https://groceries.aldi.co.uk/en-GB/p-specially-selected-chipshopstyle-extra-large-beer-battered-haddock-fillets-460g2-pack/4088600220529,460g,4088600220529,frozen,13
Four Seasons Frozen Summer Fruits 500g,1.89,https://groceries.aldi.co.uk/en-GB/p-four-seasons-frozen-summer-fruits-500g/4088600224282,500g,4088600224282,frozen,13
